Timestamp,Step,train_loss,val_loss,time_ms,tokens_per_second,learning_rate
2025-03-28T13:19:54,0,NA,17.599991,NA,NA,NA
2025-03-28T13:30:43,0,18.196983,NA,NA,NA,NA
2025-03-28T13:30:43,0,NA,NA,34039.973786,NA,NA
2025-03-28T13:30:43,0,NA,NA,NA,7.520570,NA
2025-03-28T13:30:43,0,NA,NA,NA,NA,0.001000
2025-03-28T13:31:16,1,17.749084,NA,NA,NA,NA
2025-03-28T13:31:16,1,NA,NA,32105.784405,NA,NA
2025-03-28T13:31:16,1,NA,NA,NA,7.973641,NA
2025-03-28T13:31:16,1,NA,NA,NA,NA,0.001000
2025-03-28T13:31:44,2,18.299778,NA,NA,NA,NA
2025-03-28T13:31:44,2,NA,NA,27171.978248,NA,NA
2025-03-28T13:31:44,2,NA,NA,NA,9.421471,NA
2025-03-28T13:31:44,2,NA,NA,NA,NA,0.001000
2025-03-28T13:32:11,3,18.595285,NA,NA,NA,NA
2025-03-28T13:32:11,3,NA,NA,26948.016914,NA,NA
2025-03-28T13:32:11,3,NA,NA,NA,9.499771,NA
2025-03-28T13:32:11,3,NA,NA,NA,NA,0.001000
2025-03-28T13:32:38,4,18.313404,NA,NA,NA,NA
2025-03-28T13:32:38,4,NA,NA,26908.895937,NA,NA
2025-03-28T13:32:38,4,NA,NA,NA,9.513582,NA
2025-03-28T13:32:38,4,NA,NA,NA,NA,0.001000
2025-03-28T13:33:06,5,18.461817,NA,NA,NA,NA
2025-03-28T13:33:06,5,NA,NA,27082.304271,NA,NA
2025-03-28T13:33:06,5,NA,NA,NA,9.452667,NA
2025-03-28T13:33:06,5,NA,NA,NA,NA,0.001000
2025-03-28T13:33:34,6,18.971558,NA,NA,NA,NA
2025-03-28T13:33:34,6,NA,NA,27061.169579,NA,NA
2025-03-28T13:33:34,6,NA,NA,NA,9.460050,NA
2025-03-28T13:33:34,6,NA,NA,NA,NA,0.001000
2025-03-28T13:34:02,7,17.512184,NA,NA,NA,NA
2025-03-28T13:34:02,7,NA,NA,27096.728912,NA,NA
2025-03-28T13:34:02,7,NA,NA,NA,9.447635,NA
2025-03-28T13:34:02,7,NA,NA,NA,NA,0.001000
2025-03-28T13:34:29,8,18.628542,NA,NA,NA,NA
2025-03-28T13:34:29,8,NA,NA,27201.394885,NA,NA
2025-03-28T13:34:29,8,NA,NA,NA,9.411283,NA
2025-03-28T13:34:29,8,NA,NA,NA,NA,0.000999
2025-03-28T13:34:58,9,16.471647,NA,NA,NA,NA
