Timestamp,Step,train_loss,val_loss,perplexity,time_ms,tokens_per_second,learning_rate
2025-04-02T01:56:14,0,NA,10.021732,NA,NA,NA,NA
2025-04-02T01:56:15,0,10.003678,NA,NA,NA,NA,NA
2025-04-02T01:56:15,0,NA,NA,22107.634766,NA,NA,NA
2025-04-02T01:56:15,0,NA,NA,NA,1144.479103,NA,NA
2025-04-02T01:56:15,0,NA,NA,NA,NA,223.682541,NA
2025-04-02T01:56:15,0,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:16,1,9.183359,NA,NA,NA,NA,NA
2025-04-02T01:56:16,1,NA,NA,9733.794922,NA,NA,NA
2025-04-02T01:56:16,1,NA,NA,NA,945.283816,NA,NA
2025-04-02T01:56:16,1,NA,NA,NA,NA,270.818146,NA
2025-04-02T01:56:16,1,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:17,2,8.660291,NA,NA,NA,NA,NA
2025-04-02T01:56:17,2,NA,NA,5769.211426,NA,NA,NA
2025-04-02T01:56:17,2,NA,NA,NA,925.937643,NA,NA
2025-04-02T01:56:17,2,NA,NA,NA,NA,276.476501,NA
2025-04-02T01:56:17,2,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:18,3,8.434380,NA,NA,NA,NA,NA
2025-04-02T01:56:18,3,NA,NA,4602.613281,NA,NA,NA
2025-04-02T01:56:18,3,NA,NA,NA,880.082125,NA,NA
2025-04-02T01:56:18,3,NA,NA,NA,NA,290.881958,NA
2025-04-02T01:56:18,3,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:19,4,8.122701,NA,NA,NA,NA,NA
2025-04-02T01:56:19,4,NA,NA,3370.110107,NA,NA,NA
2025-04-02T01:56:19,4,NA,NA,NA,894.678962,NA,NA
2025-04-02T01:56:19,4,NA,NA,NA,NA,286.136169,NA
2025-04-02T01:56:19,4,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:20,5,7.677760,NA,NA,NA,NA,NA
2025-04-02T01:56:20,5,NA,NA,2159.775635,NA,NA,NA
2025-04-02T01:56:20,5,NA,NA,NA,890.996575,NA,NA
2025-04-02T01:56:20,5,NA,NA,NA,NA,287.318726,NA
2025-04-02T01:56:20,5,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:21,6,7.531914,NA,NA,NA,NA,NA
2025-04-02T01:56:21,6,NA,NA,1866.674438,NA,NA,NA
2025-04-02T01:56:21,6,NA,NA,NA,910.381391,NA,NA
2025-04-02T01:56:21,6,NA,NA,NA,NA,281.200836,NA
2025-04-02T01:56:21,6,NA,NA,NA,NA,NA,0.001000
2025-04-02T01:56:22,7,7.407678,NA,NA,NA,NA,NA
2025-04-02T01:56:22,7,NA,NA,1648.593262,NA,NA,NA
2025-04-02T01:56:22,7,NA,NA,NA,902.646135,NA,NA
2025-04-02T01:56:22,7,NA,NA,NA,NA,283.610596,NA
