input,fixed_point_tanh,std_tanh
-10.000000,-1.000000,-1.000000
-9.990000,-1.000000,-1.000000
-9.980000,-1.000000,-1.000000
-9.969999,-1.000000,-1.000000
-9.959999,-1.000000,-1.000000
-9.949999,-1.000000,-1.000000
-9.939999,-1.000000,-1.000000
-9.929998,-1.000000,-1.000000
-9.919998,-1.000000,-1.000000
-9.909998,-1.000000,-1.000000
-9.899998,-1.000000,-1.000000
-9.889997,-1.000000,-1.000000
-9.879997,-1.000000,-1.000000
-9.869997,-1.000000,-1.000000
-9.859997,-1.000000,-1.000000
-9.849997,-1.000000,-1.000000
-9.839996,-1.000000,-1.000000
-9.829996,-1.000000,-1.000000
-9.819996,-1.000000,-1.000000
-9.809996,-1.000000,-1.000000
-9.799995,-1.000000,-1.000000
-9.789995,-1.000000,-1.000000
-9.779995,-1.000000,-1.000000
-9.769995,-1.000000,-1.000000
-9.759995,-1.000000,-1.000000
-9.749994,-1.000000,-1.000000
-9.739994,-1.000000,-1.000000
-9.729994,-1.000000,-1.000000
-9.719994,-1.000000,-1.000000
-9.709993,-1.000000,-1.000000
-9.699993,-1.000000,-1.000000
-9.689993,-1.000000,-1.000000
-9.679993,-1.000000,-1.000000
-9.669992,-1.000000,-1.000000
-9.659992,-1.000000,-1.000000
-9.649992,-1.000000,-1.000000
-9.639992,-1.000000,-1.000000
-9.629992,-1.000000,-1.000000
-9.619991,-1.000000,-1.000000
-9.609991,-1.000000,-1.000000
-9.599991,-1.000000,-1.000000
-9.589991,-1.000000,-1.000000
-9.579990,-1.000000,-1.000000
-9.569990,-1.000000,-1.000000
-9.559990,-1.000000,-1.000000
-9.549990,-1.000000,-1.000000
-9.539989,-1.000000,-1.000000
-9.529989,-1.000000,-1.000000
-9.519989,-1.000000,-1.000000
-9.509989,-1.000000,-1.000000
-9.499989,-1.000000,-1.000000
-9.489988,-1.000000,-1.000000
-9.479988,-1.000000,-1.000000
-9.469988,-1.000000,-1.000000
-9.459988,-1.000000,-1.000000
-9.449987,-1.000000,-1.000000
-9.439987,-1.000000,-1.000000
-9.429987,-1.000000,-1.000000
-9.419987,-1.000000,-1.000000
-9.409986,-1.000000,-1.000000
-9.399986,-1.000000,-1.000000
-9.389986,-1.000000,-1.000000
-9.379986,-1.000000,-1.000000
-9.369986,-1.000000,-1.000000
-9.359985,-1.000000,-1.000000
-9.349985,-1.000000,-1.000000
-9.339985,-1.000000,-1.000000
-9.329985,-1.000000,-1.000000
-9.319984,-1.000000,-1.000000
-9.309984,-1.000000,-1.000000
-9.299984,-1.000000,-1.000000
-9.289984,-1.000000,-1.000000
-9.279984,-1.000000,-1.000000
-9.269983,-1.000000,-1.000000
-9.259983,-1.000000,-1.000000
-9.249983,-1.000000,-1.000000
-9.239983,-1.000000,-1.000000
-9.229982,-1.000000,-1.000000
-9.219982,-1.000000,-1.000000
-9.209982,-1.000000,-1.000000
-9.199982,-1.000000,-1.000000
-9.189981,-1.000000,-1.000000
-9.179981,-1.000000,-1.000000
-9.169981,-1.000000,-1.000000
