[Mon Feb 10 03:32:08 2025], step 0: train loss, -nan, (took 11015.543266 ms)
[Mon Feb 10 03:32:21 2025], step 1: train loss, -nan, (took 11171.556843 ms)
[Mon Feb 10 03:32:32 2025], step 2: train loss, -nan, (took 11420.605810 ms)
[Mon Feb 10 03:32:44 2025], step 3: train loss, -nan, (took 12168.955602 ms)
[Mon Feb 10 03:32:56 2025], step 4: train loss, -nan, (took 11224.097021 ms)
[Mon Feb 10 03:33:08 2025], step 5: train loss, -nan, (took 11274.173930 ms)
[Mon Feb 10 03:33:19 2025], step 6: train loss, -nan, (took 11170.370329 ms)
[Mon Feb 10 03:33:31 2025], step 7: train loss, -nan, (took 11361.590075 ms)
[Mon Feb 10 03:33:42 2025], step 8: train loss, -nan, (took 11025.382064 ms)
[Mon Feb 10 03:33:53 2025], step 9: train loss, -nan, (took 11035.245428 ms)
[Mon Feb 10 03:38:23 2025], step 0: train loss, inf, (took 12257.004549 ms)
[Mon Feb 10 03:38:36 2025], step 1: train loss, inf, (took 11591.909986 ms)
[Mon Feb 10 03:38:47 2025], step 2: train loss, 88.715286, (took 11684.943971 ms)
[Mon Feb 10 03:39:00 2025], step 3: train loss, inf, (took 11601.995530 ms)
[Mon Feb 10 03:39:11 2025], step 4: train loss, 88.646469, (took 11250.852295 ms)
[Mon Feb 10 03:39:23 2025], step 5: train loss, inf, (took 11606.578941 ms)
[Mon Feb 10 03:39:35 2025], step 6: train loss, inf, (took 11534.822646 ms)
[Mon Feb 10 03:39:46 2025], step 7: train loss, inf, (took 11216.229535 ms)
[Mon Feb 10 03:39:58 2025], step 8: train loss, inf, (took 11612.391799 ms)
[Mon Feb 10 03:40:10 2025], step 9: train loss, inf, (took 11306.453967 ms)
[Mon Feb 10 03:40:36 2025], step 10: train loss, inf, (took 11268.157687 ms)
[Mon Feb 10 03:40:49 2025], step 11: train loss, inf, (took 11607.780417 ms)
[Mon Feb 10 03:41:00 2025], step 12: train loss, inf, (took 11606.107743 ms)
[Mon Feb 10 03:41:14 2025], step 13: train loss, inf, (took 11950.064300 ms)
[Mon Feb 10 03:41:25 2025], step 14: train loss, inf, (took 11677.390409 ms)
[Mon Feb 10 03:41:37 2025], step 15: train loss, inf, (took 12172.866772 ms)
[Mon Feb 10 03:41:50 2025], step 16: train loss, inf, (took 11627.638985 ms)
[Mon Feb 10 03:42:01 2025], step 17: train loss, inf, (took 11237.735305 ms)
[Mon Feb 10 03:42:13 2025], step 18: train loss, inf, (took 11502.281201 ms)
[Mon Feb 10 03:42:25 2025], step 19: train loss, inf, (took 11309.359015 ms)
[Mon Feb 10 03:42:52 2025], step 20: train loss, inf, (took 11198.569539 ms)
[Mon Feb 10 03:43:03 2025], step 21: train loss, inf, (took 11161.844395 ms)
[Mon Feb 10 03:43:14 2025], step 22: train loss, inf, (took 11232.421659 ms)
[Mon Feb 10 03:43:27 2025], step 23: train loss, inf, (took 11265.342292 ms)
[Mon Feb 10 03:43:38 2025], step 24: train loss, inf, (took 11166.833220 ms)
[Mon Feb 10 03:43:49 2025], step 25: train loss, inf, (took 11433.529837 ms)
[Mon Feb 10 03:44:02 2025], step 26: train loss, inf, (took 11411.392444 ms)
[Mon Feb 10 03:44:13 2025], step 27: train loss, inf, (took 11141.932172 ms)
[Mon Feb 10 03:44:24 2025], step 28: train loss, inf, (took 11295.374807 ms)
[Mon Feb 10 03:44:37 2025], step 29: train loss, inf, (took 11398.601476 ms)
[Mon Feb 10 03:45:03 2025], step 30: train loss, inf, (took 12141.179049 ms)
[Mon Feb 10 03:45:15 2025], step 31: train loss, inf, (took 11266.857917 ms)
[Mon Feb 10 03:45:26 2025], step 32: train loss, inf, (took 10973.257528 ms)
[Mon Feb 10 03:45:39 2025], step 33: train loss, inf, (took 11115.217191 ms)
[Mon Feb 10 03:45:50 2025], step 34: train loss, inf, (took 11396.689052 ms)
[Mon Feb 10 03:46:01 2025], step 35: train loss, inf, (took 11115.084814 ms)
[Mon Feb 10 03:46:14 2025], step 36: train loss, inf, (took 11304.411145 ms)
[Mon Feb 10 03:46:25 2025], step 37: train loss, inf, (took 11232.816388 ms)
[Mon Feb 10 03:46:36 2025], step 38: train loss, 88.597244, (took 11315.634797 ms)
[Mon Feb 10 03:46:48 2025], step 39: train loss, inf, (took 11173.698320 ms)
[Mon Feb 10 03:47:15 2025], step 40: train loss, 88.625214, (took 11672.500857 ms)
